Code,Name,Credits,Prerequisites,Description
INTD-3355,"RESEARCH METHODS IN LIBRARIES"
INTD-3357,"ENVIRONMENTAL SUSTAINABILITY"
INTD-3706,"TECHNOLOGY, WELLBEING AND JUSTICE"
INTD-3990,"SELECTED TOPICS WITH MULTIDISCIPLINARY APPROACHES"
INTD-3995,"EXPERIENCE IN COMMUNITY DEVELOPMENT"
INTD-4000,"CONGRESSIONAL INTERNSHIP-CÓRDOVA PROGRAM"
INTD-4010,"ACADEMIC SEMINAR-WASHINGTON CENTER"
INTD-4019,"APPLICATIONS OF SOCIAL SOFTWARE FOR EDUCATION"
INTD-4995,"INSTITUTIONAL COOP PLAN"
INTD-5001,"MULTIDISCIPLINARY ARCHAEOLOGY I"
INTD-5002,"MULTIDISCIPLINARY ARCHAEOLOGY II"
INTD-5095,"APPROPRIATE TECHNOLOGY"
ESAE-3001,"HERITAGE AND VALUES OF THE AIR FORCES I"
ESAE-3002,"HERITAGE AND VALUES OF THE AIR FORCES II"
ESAE-3011,"TEAM AND LEADERSHIP FUNDAMENTALS I"
ESAE-3012,"TEAM AND LEADERSHIP FUNDAMENTALS II"
ESAE-4001,"LEADERSHIP AND EFFECTIVE COMMUNICATION IN THE AIR FORCES I"
ESAE-4002,"LEADERSHIP AND EFFECTIVE COMMUNICATION IN THE AIR FORCES II"
ESAE-4011,"NATIONAL SECURITY AND COMMISSIONING PREPARATION I"
ESAE-4012,"NATIONAL SECURITY AND COMMISSIONING PREPARATION II"
CIMI-3011,"INTRODUCTION TO MILITARY SCIENCES"
CIMI-3012,"BASIC MILITARY SKILLS"
CIMI-3021,"FUNDAMENTALS OF MILITARY TACTICS I"
CIMI-3022,"FUNDAMENTALS OF MILITARY TACTICS II"
CIMI-3041,"BASIC ENGLISH FOR TODAY'S ARMY I"
CIMI-3042,"BASIC ENGLISH FOR TODAY'S ARMY II"
CIMI-3043,"INTERMEDIATE ENGLISH FOR TODAY'S ARMY I"
CIMI-3044,"INTERMEDIATE ENGLISH FOR TODAY'S ARMY II"
CIMI-3051,"MILITARY BRIEFING I"
CIMI-3052,"MILITARY BRIEFING II"
CIMI-4011,"COMMUNICATION AND PSYCHOLOGY OF MILITARY LEADERSHIP"
CIMI-4012,"FUNDAMENTALS OF MILITARY STRATEGY"
CIMI-4021,"MILITARY HISTORY, LEADERSHIP AND MILITARY ADMINISTRATION"
CIMI-4022,"SEMINAR: LEADERSHIP AND MILITARY ADMINISTRATION"
CIMI-4041,"MILITARY WRITING I"
CIMI-4042,"MILITARY WRITING II"
EDES-3205,"ASSISTIVE TECHNOLOGY IN SPECIAL EDUCATION"
EDES-4006,"NATURE AND NEEDS OF EXCEPTIONAL LEARNERS"
EDES-4048,"BEHAVIOR MODIFICATION APPLIED TO A CLASSROOM SETTING"
EDES-4055,"EDUCATIONAL STRATEGIES FOR THE INCLUSION OF STUDENTS WITH SPECIAL NEEDS IN THE REGULAR CLASSROOM"
EDES-4077,"COMMUNICATION TECHNIQUES FOR THE HEARING IMPAIRED"
EDES-4096,"METHODS IN TEACHING READING AND WRITING IN SPECIAL EDUCATION K-12"
EDES-4097,"LANGUAGE ART METHODS IN SPECIAL EDUCATION K-12"
EDES-4098,"METHODOLOGY OF TEACHING MATHEMATICS IN SPECIAL EDUCATION K-12"
EDES-4125,"AUTISM: PSYCHOLOGICAL & NEURO-BIOCHEMICAL ASPECTS"
